"N°";"Désignation";"Marque";"Modèle";"N° Série";"Sous-site";"État";"Notes";"Vérifié"
"17415";"Serveur";"LENOVO";"3650M5";"J3372F0";"DATA CENTER";"OK";"";"OUI"
"17416";"Serveur";"LENOVO";"THINKSYSTEM SR550";"J300YRHK";"DATA CENTER";"OK";"";"OUI"
"17417";"Serveur";"DELL";"MD3400";"38WFSG2";"DATA CENTER";"OK";"";"OUI"
"17418";"Serveur";"HP";"PROLIANT DL380 G5";"407049-002";"DATA CENTER";"Non";"";"OUI"
"17419";"Serveur";"DELL";"PRECISION T1700";"22L6LZ1";"DATA CENTER";"Non";"";"OUI"
"17420";"Serveur";"IBM";"X3400 M3";"KD98YLW";"DATA CENTER";"OK";"";"OUI"
"17421";"SWITCH";"HPE";"LCD8500";"2C463688AX";"DATA CENTER";"OK";"";"OUI"
"17422";"SWITCH";"CISCO";"CATLYSTE 2960";"FCW2151A08B";"DATA CENTER";"OK";"";"OUI"
"17423";"SWITCH";"RUIJIE";"RG-ES126-G-P-L";"RG1QQ341001642";"DATA CENTER";"Non";"";"OUI"
"17424";"SWITCH";"CISCO";"CATLYSTE 2960";"FCW2312A0TE";"DATA CENTER";"OK";"";"OUI"
"17425";"UC";"DELL";"OPTIPLEX 9020";"JN6TV42";"UC";"OK";"";"OUI"
"17426";"ECRAN";"DELL";"P1914SC";"CN-0H88-WX64-180-4CH-1WGL";"UC";"OK";"";"OUI"
"17427";"PC PORTABLE";"DELL";"";"D8U4XT2";"UC";"";"";"NON"
"17428";"ECRAN";"DELL";"";"4CH-1WJL";"UC";"";"";"NON"
"17429";"PC PORTABLE";"DELL";"LATITUDE 7490";"16R3NV2";"UC";"";"";"NON"
"17430";"ECRAN";"DELL";"";"4CH-1WBL";"UC";"";"";"NON"
"17431";"UC";"DELL";"";"412VTC3";"UC";"";"";"NON"
"17432";"UC";"DELL";"OPTIPLEX 9020";"8P6TV42";"UC";"";"";"NON"
"17433";"ECRAN";"DELL";"";"4CH-1WNL";"UC";"";"";"NON"
"17434";"ECRAN";"DELL";"";"4CH-OHQL";"UC";"";"";"NON"
"17435";"UC";"DELL";"OPTIPLEX 9020";"2Q6TV42";"UC";"";"";"NON"
"17436";"PC PORTABLE";"DELL";"LATITUDE 5410";"CQR8R73";"UC";"";"";"NON"
"17437";"PC PORTABLE";"DELL";"LATITUDE E5430";"9TTZTY1";"UC";"";"";"NON"
"17438";"PC PORTABLE";"FUJITSU";"LIFEBOOK U SERIES";"DS1T005299";"UC";"";"";"NON"
"17439";"PC PORTABLE";"DELL";"";"6R2CKN3";"UC";"";"";"NON"
"17440";"UC";"DELL";"OPTIPLEX 3280";"312VTC3";"UC";"";"";"NON"
"17441";"ECRAN";"DELL";"";"4CH-OJ4L";"UC";"";"";"NON"
"17442";"UC";"DELL";"OPTIPLEX 9020";"3Q6TV42";"UC";"";"";"NON"
"17443";"ECRAN";"DELL";"";"4CH-1WLN";"UC";"";"";"NON"
"17444";"UC";"DELL";"OPTIPLEX 9020";"9P6TV42";"UC";"";"";"NON"
"17445";"ECRAN";"DELL";"";"4CH-1WCL";"UC";"";"";"NON"
"17446";"PC PORTABLE";"LENOVO";"THINKPAD X1";"PF-5YMQ0A";"UC";"";"";"NON"
"17447";"PC PORTABLE";"DELL";"LATITUDE 3470";"8RDX3F2";"UC";"";"";"NON"
"17448";"PC PORTABLE";"DELL";"LATITUDE 5410";"JHYFR73";"UC";"";"";"NON"
"17449";"ECRAN";"DELL";"P2214HB";"CN029C29-74261-513-1E5B";"UC";"";"";"NON"
"17450";"UC";"DELL";"XPS 13 9370";"629CNV2";"UC";"";"";"NON"
"17451";"UC";"DELL";"OPTIPLEX 3280";"F02VTC3";"UC";"";"";"NON"
"17452";"PC PORTABLE";"FUJITSU";"LIFEBOOK U SERIES";"DST005302";"UC";"";"";"NON"
"17453";"ECRAN";"DELL";"P2419H";"H380ZT2";"UC";"";"";"NON"
"17454";"PC PORTABLE";"LENOVO";"THINKPAD X1";"PF-5YMROK";"UC";"";"";"NON"
"17455";"UC";"DELL";"OPTIPLEX 9020";"HP6TVY42";"UC";"";"";"NON"
"17456";"ECRAN";"DELL";"P19345C";"4CH-OHNL";"UC";"";"";"NON"
"17457";"UC";"DELL";"OPTIPLEX 3280";"W21B001";"UC";"";"";"NON"
"17458";"UC";"DELL";"OPTIPLEX 9020";"5Q6TV42";"UC";"";"";"NON"
"17459";"ECRAN";"DELL";"P19345C";"4CH-3HKL";"UC";"";"";"NON"
"17460";"PC PORTABLE";"FUJITSU";"LIFEBOOK U SERIES";"DST004805";"UC";"";"";"NON"
"17461";"ECRAN";"DELL";"P19145C";"4CH-1WKL";"UC";"";"";"NON"
"17462";"PC PORTABLE";"DELL";"LATITUDE 5410";"1YR8R73";"UC";"";"";"NON"
"17463";"ECRAN";"DELL";"P1914SE";"4CH-1WML";"UC";"";"";"NON"
"17464";"PC PORTABLE";"DELL";"POWER EDGE T160";"6HDF994";"UC";"";"";"NON"
"17465";"ECRAN";"SAMSUNG";"S4C3170EAM";"8LH9JXB00419W";"UC";"";"";"NON"
"17466";"UC";"DELL";"OPTIPLEX 3280";"112VTC3";"UC";"";"";"NON"
"17467";"UC";"DELL";"OPTIPLEX 9020";"HN6TV42";"UC";"";"";"NON"
"17468";"ECRAN";"DELL";"E1913C";"CN-038Y24-64180-321-0QQM";"UC";"";"";"NON"
"17469";"PC PORTABLE";"DELL";"LATITUDE 7430";"BYPG5X3";"UC";"";"";"NON"
"17470";"ECRAN";"HP";"E231";"3CQ339004C";"UC";"";"";"NON"
"17471";"PC PORTABLE";"DELL";"XPS 13 9370";"GJ2JNV2";"UC";"";"";"NON"
"17472";"ECRAN";"DELL";"P19145C";"4CH-1WDL";"UC";"";"";"NON"
"17473";"PC PORTABLE";"DELL";"LATITUDE 5410";"3ZR8R73";"UC";"";"";"NON"
"17474";"UC";"DELL";"OPTIPLEX 3010";"JJPKJZ1";"UC";"";"";"NON"
"17475";"ECRAN";"DELL";"E1913C";"CN-038Y24-64180-391-059M";"UC";"";"";"NON"
"17476";"UC";"HP";"COMPAQ X2400";"CZC9060TZ2";"UC";"";"";"NON"
